stat,mkt,mult,p_base,p_ctx
attempts,0.475,1.0,0.4117919810855392,0.4117919810855392
completions,0.45999999999999996,1.0,0.41128668714086436,0.41128668714086436
passing_tds,0.675,0.9048177724404212,0.6779932007346339,0.6779932007346339
passing_yards,0.555,0.9048177724404212,0.553,0.451
passing_tds,0.64,1.110833237848301,0.46798292967689087,0.46798292967689087
passing_yards,0.46499999999999997,1.110833237848301,0.425,0.53
passing_tds,0.675,0.8757616083311158,0.7577334386971429,0.7577334386971429
passing_yards,0.44999999999999996,0.8757616083311158,0.724,0.593
receiving_yards,0.55,0.9125798516884104,0.6380356412524364,0.6016525108706802
receiving_yards,0.5,1.1347580623795994,0.4191072162632663,0.48047473194211576
attempts,0.475,1.0,0.583713195235628,0.583713195235628
completions,0.475,1.0,0.5323910238411325,0.5323910238411325
passing_tds,0.33499999999999996,0.8757616083311158,0.36264680274663086,0.36264680274663086
passing_yards,0.5249999999999999,0.8757616083311158,0.612,0.477
rushing_yards,0.425,0.8930796261071556,0.5384817729438793,0.4629899994472504
receiving_yards,0.495,1.1504000821369484,0.4448078649116276,0.5037808197748622
receiving_yards,0.475,1.003477682640877,0.37945948215031766,0.3810946322963391
receptions,0.53,1.003477682640877,0.532,0.532
receiving_yards,0.56,1.0956526332428231,0.4478136312039175,0.49065586775970704
receptions,0.52,1.0956526332428231,0.395,0.485
receiving_yards,0.5,0.8757616083311158,0.7249789437067363,0.6268350651975118
receptions,0.45999999999999996,0.8757616083311158,0.443,0.443
carries,0.53,1.0,0.6085153143221154,0.6085153143221154
rushing_yards,0.5,1.1440458339921908,0.5573273796242068,0.6275403065335787
receiving_yards,0.455,1.0910200084890929,0.6484490293173655,0.700025017378608
receptions,0.56,1.0910200084890929,0.765,0.765
attempts,0.495,1.0,0.6644971380278581,0.6644971380278581
completions,0.47,1.0,0.6255373236221946,0.6255373236221946
passing_tds,0.405,1.2032328109924217,0.44795162360923263,0.44795162360923263
passing_yards,0.42000000000000004,1.2032328109924217,0.659,0.822
rushing_yards,0.475,1.1463038677457629,0.6196546816662953,0.6969451740963324
attempts,0.47,1.0,0.3975640651019437,0.3975640651019437
completions,0.495,1.0,0.362535249273874,0.362535249273874
passing_tds,0.625,1.1214209450927504,0.47596483116943694,0.47596483116943694
passing_yards,0.425,1.1214209450927504,0.306,0.416
receiving_yards,0.49,1.1448909074052118,0.11604099765914389,0.1776725251332153
receptions,0.45999999999999996,1.1448909074052118,0.145,0.223
attempts,0.475,1.0,0.444645283602822,0.444645283602822
completions,0.515,1.0,0.45794203110602005,0.45794203110602005
passing_tds,0.545,0.9668864480190987,0.442082671633533,0.442082671633533
passing_yards,0.545,0.9668864480190987,0.384,0.352
attempts,0.46499999999999997,1.0,0.38958774781754285,0.38958774781754285
completions,0.51,1.0,0.4595960050032712,0.4595960050032712
passing_tds,0.325,0.8850125140391883,0.4052826895042744,0.4052826895042744
passing_yards,0.435,0.8850125140391883,0.465,0.35
carries,0.515,1.0,0.23653813489008274,0.23653813489008274
receiving_yards,0.505,1.1266017919174207,0.42357014358369993,0.4970587919874686
receptions,0.52,1.1266017919174207,0.5058030434740933,0.6406058911604097
receiving_yards,0.5,1.0672864734512555,0.4217908426868243,0.45590747064624504
carries,0.5700000000000001,1.0,0.39453638743986524,0.39453638743986524
receiving_yards,0.495,1.0248649211733716,0.3872848067005126,0.402514062506224
receptions,0.51,1.0248649211733716,0.27180955089279407,0.27180955089279407
rushing_yards,0.505,0.9670217516596259,0.3353798604589764,0.3078887618855206
attempts,0.47,1.0,0.5620293024475735,0.5620293024475735
completions,0.525,1.0,0.6336004817532571,0.6336004817532571
passing_tds,0.61,1.0239945887745057,0.6946071262767033,0.6946071262767033
passing_yards,0.46,1.0239945887745057,0.686,0.711
receiving_yards,0.4,1.1666201507142122,0.47110179712619493,0.5456242338503708
receptions,0.41000000000000003,1.1666201507142122,0.416,0.511
receiving_yards,0.395,1.1006131850290322,0.6518163614434703,0.7223081719760416
receptions,0.45499999999999996,1.1006131850290322,0.477,0.725
passing_tds,0.51,1.0408372838964977,0.4261847953792137,0.4261847953792137
passing_yards,0.46499999999999997,1.0408372838964977,0.512,0.558
rushing_yards,0.525,1.0989551017790433,0.6590601070967228,0.7100968092004403
receiving_yards,0.485,1.0836152163906234,0.590691252527185,0.6356509871630664
receptions,0.58,1.0836152163906234,0.388,0.388
rushing_yards,0.54,0.8757616083311158,0.8976802829697339,0.838622523088369
receiving_yards,0.5549999999999999,0.908060213457793,0.3680935359969262,0.2987990252984929
receptions,0.56,0.908060213457793,0.398,0.284
receiving_yards,0.48,1.0461551715249087,0.3645355569309221,0.38822105873527424
receptions,0.475,1.0461551715249087,0.336,0.336
receiving_yards,0.46499999999999997,1.076854609629059,0.45675000871065397,0.4976487087177084
receptions,0.525,1.076854609629059,0.409,0.518
receiving_yards,0.535,1.1763547018244322,0.23914905925213148,0.34971853330722724
receptions,0.55,1.1763547018244322,0.087,0.191
attempts,0.505,1.0,0.4001160943849245,0.4001160943849245
carries,0.555,1.0,0.044785095224016094,0.044785095224016094
completions,0.475,1.0,0.333249655385093,0.333249655385093
passing_tds,0.45999999999999996,0.8810938337987901,0.36106307220074874,0.36106307220074874
passing_yards,0.5349999999999999,0.8810938337987901,0.351,0.236
rushing_yards,0.515,0.9302919666504994,0.016829276791422307,0.010649894798285094
receiving_yards,0.545,1.2032328109924217,0.24868577263293057,0.37632283821386414
receptions,0.515,1.2032328109924217,0.216,0.403
receiving_yards,0.51,0.9929988039266266,0.5839472674916917,0.5791313164678271
receptions,0.46499999999999997,0.9929988039266266,0.39,0.39
receiving_yards,0.35,0.9797637403889177,0.4602746445803546,0.4476325015092917
receptions,0.605,0.9797637403889177,0.6038203667934425,0.6038203667934425
rushing_yards,0.485,1.0344713604106337,0.4179062202281243,0.43739944596642477
attempts,0.52,1.0,0.569627693950625,0.569627693950625
completions,0.485,1.0,0.5727471442628732,0.5727471442628732
passing_tds,0.51,0.9187042641115455,0.43711141119970276,0.43711141119970276
passing_yards,0.565,0.9187042641115455,0.517,0.415
attempts,0.495,1.0,0.3432855968486619,0.3432855968486619
carries,0.565,1.0,0.461100357022369,0.461100357022369
completions,0.495,1.0,0.37044696839657987,0.37044696839657987
passing_tds,0.605,1.0362488592268675,0.4658589032030585,0.4658589032030585
passing_yards,0.515,1.0362488592268675,0.257,0.285
rushing_yards,0.555,1.094110470655779,0.42591196266618014,0.48693356241363317
receiving_yards,0.5349999999999999,0.9977207971159905,0.5741871265977605,0.5724837070695612
receptions,0.485,0.9977207971159905,0.205,0.205
receiving_yards,0.365,0.9885906950978596,0.69363279864738,0.6869883593118152
receptions,0.435,0.9885906950978596,0.767,0.767
carries,0.495,1.0,0.6012791843338166,0.6012791843338166
receptions,0.46499999999999997,1.0188662930339758,0.48690293057134043,0.48690293057134043
rushing_yards,0.495,0.9397310469730844,0.6480090776899634,0.6112221645239425
receiving_yards,0.53,0.9195969986937454,0.3445954061261082,0.2955783571393559
receptions,0.595,0.9195969986937454,0.354,0.268
receiving_yards,0.545,1.2032328109924217,0.34121503262857344,0.451796878942608
receptions,0.415,1.2032328109924217,0.205,0.264
receptions,0.5800000000000001,1.1763547018244322,0.44715837808997877,0.44715837808997877
rushing_yards,0.53,1.1763547018244322,0.09002754630006371,0.18095628571053823
receiving_yards,0.425,1.14433674303864,0.6377108635610613,0.7248817014045967
receptions,0.415,1.14433674303864,0.741,0.741
attempts,0.485,1.0,0.012542200095995602,0.012542200095995602
completions,0.495,1.0,0.01507419851118747,0.01507419851118747
passing_tds,0.37,0.9412808700346105,0.10840776030447369,0.10840776030447369
passing_yards,0.54,0.9412808700346105,0.042,0.03
passing_tds,0.33499999999999996,0.8793728796817246,0.25844343858643887,0.25844343858643887
passing_yards,0.44499999999999995,0.8793728796817246,0.207,0.137
rushing_yards,0.47,0.8757616083311158,0.4295329752476713,0.33982750078340107
receiving_yards,0.5900000000000001,1.0719858479620274,0.6726459261560326,0.7052304513740235
receptions,0.435,1.0719858479620274,0.404,0.526
receiving_yards,0.385,0.8757616083311158,0.3659298234845319,0.2861484700717287
receptions,0.45999999999999996,0.8757616083311158,0.25818457012155993,0.25818457012155993
rushing_yards,0.5249999999999999,0.8757616083311158,0.3086012557652654,0.22185257990012586
carries,0.45499999999999996,1.0,0.49992028342456285,0.49992028342456285
rushing_yards,0.49,0.8757616083311158,0.40682569835897386,0.32623066130185985
receiving_yards,0.505,0.8776952270137683,0.5426583301856289,0.4636841558919571
rushing_yards,0.53,0.8757616083311158,0.28483910908290766,0.21373168001328413
receiving_yards,0.595,1.0882913757335722,0.8178832466216479,0.8604201932989819
receptions,0.575,1.0882913757335722,0.727,0.727
attempts,0.45499999999999996,1.0,0.4407292709300725,0.4407292709300725
completions,0.48,1.0,0.4321331296873886,0.4321331296873886
passing_tds,0.54,1.034091803366737,0.49974639908910107,0.49974639908910107
passing_yards,0.505,1.034091803366737,0.425,0.454
rushing_yards,0.38,1.1102880415095493,0.5006820818092801,0.56911623759514
rushing_yards,0.495,0.9890250938973293,0.43968693231500444,0.4312132284204445
receiving_yards,0.475,0.9986504883237988,0.7138678100701621,0.7128308862689994
receptions,0.485,0.9986504883237988,0.47,0.47
receiving_yards,0.48,1.121909760709469,0.33116156219848825,0.4009607120462043
receptions,0.44,1.121909760709469,0.391,0.47
passing_tds,0.52,1.0347085978991966,0.4091329828326644,0.4091329828326644
passing_yards,0.49,1.0347085978991966,0.663,0.693
receiving_yards,0.5,1.1846026026154497,0.12095592135154498,0.2016508299744093
receptions,0.54,1.1846026026154497,0.2,0.253
attempts,0.5,1.0,0.6488853482152763,0.6488853482152763
completions,0.51,1.0,0.6375144692123159,0.6375144692123159
passing_tds,0.39,1.09721745368226,0.42789170461386117,0.42789170461386117
passing_yards,0.535,1.09721745368226,0.57,0.662
rushing_yards,0.495,1.15848340287264,0.12540068959459902,0.19725558079164235
receiving_yards,0.505,0.9245466784283999,0.660415503487265,0.6289234604684453
receptions,0.49,0.9245466784283999,0.595,0.462
receiving_yards,0.555,1.010475900748268,0.37461726766741865,0.3806220820451799
receptions,0.41500000000000004,1.010475900748268,0.162,0.162
receiving_yards,0.47,1.0836152163906234,0.7057437014997627,0.7521859570221032
receptions,0.33999999999999997,1.0836152163906234,0.724,0.724
passing_tds,0.52,0.8979215465753798,0.49016995519907963,0.49016995519907963
passing_yards,0.495,0.8979215465753798,0.423,0.307
receiving_yards,0.45999999999999996,0.8882877866236462,0.2217570865316999,0.16942802267317392
receiving_yards,0.5,0.9843077627788865,0.1687766001121399,0.16172184517613053
receptions,0.44,0.9843077627788865,0.097,0.097
receptions,0.615,0.9603346422869126,1.0,1.0
receiving_yards,0.525,1.0282169852711331,0.5825329489475647,0.5982087251147739
receptions,0.545,1.0282169852711331,0.4906710768416905,0.4906710768416905
rushing_yards,0.49,1.0617409451622537,0.4947681824191299,0.5291019257317158
receiving_yards,0.515,1.0440401245731288,0.6294870261821539,0.6617669048642514
receptions,0.5549999999999999,1.0440401245731288,0.37,0.37
receiving_yards,0.54,0.9729896829290098,0.27056646183206123,0.25099564270318
receptions,0.495,0.9729896829290098,0.22,0.19
receiving_yards,0.5,1.0226700761651206,0.24312768584306332,0.25360352628903016
receptions,0.54,1.0226700761651206,0.326,0.326
receiving_yards,0.505,1.0669147072281913,0.3992597505015669,0.4252532819262512
receptions,0.475,1.0669147072281913,0.499,0.551
attempts,0.485,1.0,0.46931164781859946,0.46931164781859946
completions,0.495,1.0,0.5050196312436941,0.5050196312436941
passing_tds,0.41500000000000004,0.9876629112610683,0.4681218125957914,0.4681218125957914
passing_yards,0.46499999999999997,0.9876629112610683,0.482,0.468
carries,0.48,1.0,0.5411963801046281,0.5411963801046281
rushing_yards,0.47,0.9251997736024772,0.5584716144682434,0.5094494421188374
carries,0.47,1.0,0.08332785060558778,0.08332785060558778
receiving_yards,0.45499999999999996,1.0225229186501765,0.39942890441193074,0.4132576787970595
receptions,0.485,1.0225229186501765,0.26765156050033456,0.26765156050033456
rushing_yards,0.495,1.0558612293410283,0.16521534745910893,0.19442971365185313
receiving_yards,0.61,0.8757616083311158,0.430472372673091,0.3484497361353531
receptions,0.605,0.8757616083311158,0.33169425595019836,0.33169425595019836
rushing_yards,0.505,0.8757616083311158,0.5307179975399872,0.447044907361118
receiving_yards,0.54,0.8801756816401471,0.3367149228444384,0.2623805241744047
receptions,0.525,0.8801756816401471,0.196,0.142
receiving_yards,0.495,1.2032328109924217,0.5162495193197097,0.5807867784941436
receptions,0.56,1.2032328109924217,0.732,0.81
receiving_yards,0.475,1.0669147072281913,0.2593985371978288,0.30276939988693474
receptions,0.575,1.0669147072281913,0.364,0.364
receiving_yards,0.565,1.1151823689717975,0.23260996456061256,0.30324072246203015
receptions,0.5,1.1151823689717975,0.189,0.271
carries,0.575,1.0,0.17354841474960034,0.17354841474960034
receiving_yards,0.575,0.9165668676698657,0.3916201965597183,0.3380674617043548
receptions,0.505,0.9165668676698657,0.27080231978826397,0.27080231978826397
rushing_yards,0.485,0.9327669670372802,0.1438383793350163,0.10635299733352677
receiving_yards,0.42500000000000004,0.8898569887637392,0.5737161743226751,0.4894815978832775
receptions,0.425,0.8898569887637392,0.607,0.463
receiving_yards,0.355,1.0562712427700318,0.29944567473985845,0.33218978026854945
receptions,0.61,1.0562712427700318,0.45068121464823463,0.45068121464823463
rushing_yards,0.495,0.9966555067976364,0.3234186924725756,0.3211682483637538
receiving_yards,0.555,1.2032328109924217,0.5688853841677408,0.6707803968910435
receptions,0.425,1.2032328109924217,0.59,0.691
receiving_yards,0.495,1.057946521521987,0.4637498388272513,0.4896841072129895
receptions,0.585,1.057946521521987,0.461,0.684
receiving_yards,0.53,0.8757616083311158,0.5387144463371187,0.4609743460887261
receiving_yards,0.505,0.8757616083311158,0.4028754737155792,0.32298716838500585
receptions,0.51,0.8757616083311158,0.177,0.139
receiving_yards,0.525,1.098749000510684,0.45183610292809273,0.4903415823967282
receptions,0.515,1.098749000510684,0.5,0.57
receiving_yards,0.525,1.0552472710610525,0.5318517964458805,0.5646499862614536
receptions,0.45499999999999996,1.0552472710610525,0.384,0.384
attempts,0.475,1.0,0.4673558090766125,0.4673558090766125
completions,0.52,1.0,0.45357391371722666,0.45357391371722666
passing_tds,0.615,1.1121000310675309,0.3937221600267163,0.3937221600267163
passing_yards,0.565,1.1121000310675309,0.33,0.453
receiving_yards,0.5349999999999999,1.0610260955574564,0.2888389845843413,0.3375241401818353
rushing_yards,0.49,1.2032328109924217,0.34207504480345885,0.48103345745884396
receiving_yards,0.525,1.2032328109924217,0.22086222029991975,0.3255876640153077
receptions,0.45499999999999996,1.2032328109924217,0.058,0.178
receiving_yards,0.505,1.202502252205152,0.6214913009861771,0.7511412584608286
receiving_yards,0.415,0.9973659590372439,0.6067469778555539,0.6059280543149689
receptions,0.565,0.9973659590372439,0.907,0.907
carries,0.44,1.0,0.3517182559886875,0.3517182559886875
receiving_yards,0.52,0.8757616083311158,0.3995318451457544,0.3182777117052216
receptions,0.515,0.8757616083311158,0.2738441636483973,0.2738441636483973
rushing_yards,0.5549999999999999,0.9012495753279502,0.46248658384594743,0.39779351758534043
receiving_yards,0.51,0.9933485404328145,0.3567023317087623,0.35236813477125695
receptions,0.5549999999999999,0.9933485404328145,0.406,0.406
attempts,0.45999999999999996,1.0,0.5089447257138227,0.5089447257138227
completions,0.495,1.0,0.5547393976330145,0.5547393976330145
passing_tds,0.575,1.0482971046763037,0.6658587355226276,0.6658587355226276
passing_yards,0.49,1.0482971046763037,0.646,0.705
receiving_yards,0.485,1.0300178230258459,0.6994343692058749,0.7144388246713659
receptions,0.565,1.0300178230258459,0.676,0.676
receiving_yards,0.5,1.086961266329506,0.5738765346238129,0.620445064255835
rushing_yards,0.505,1.1740711355578548,0.5393918085727719,0.6019992303677562
receiving_yards,0.54,1.035763727494059,0.3357381998527347,0.35813368749168195
receptions,0.505,1.035763727494059,0.341,0.341
carries,0.49,1.0,0.27760595183633513,0.27760595183633513
receiving_yards,0.515,1.0927655374556533,0.6008734426922306,0.6486536059597252
receptions,0.5700000000000001,1.0927655374556533,0.6385544642783552,0.6385544642783552
rushing_yards,0.52,1.1179187083945303,0.4173011930400389,0.4905306117811077
receiving_yards,0.535,1.057946521521987,0.3311431199882683,0.36365281278482176
receptions,0.475,1.057946521521987,0.388,0.46
receiving_yards,0.465,0.9507354918716723,0.6548335845745101,0.61333526223943
receptions,0.5800000000000001,0.9507354918716723,0.741,0.741
receiving_yards,0.475,0.959685764573791,0.5765101691276975,0.5559316731760492
receptions,0.525,0.959685764573791,0.43,0.43
receiving_yards,0.575,0.9593601613419519,0.7109805943217444,0.691447371891666
receptions,0.505,0.9593601613419519,0.40873944311568233,0.40873944311568233
rushing_yards,0.5449999999999999,0.9246844928597128,0.6012720805614479,0.5545307680115599
receiving_yards,0.47,1.0550485992283594,0.4969784485959179,0.5218280466771814
receptions,0.51,1.0550485992283594,0.556,0.655
receiving_yards,0.605,0.920806118082207,0.5994964940249111,0.5526447520792652
receptions,0.5700000000000001,0.920806118082207,0.348,0.237
rushing_yards,0.495,0.9957793501263321,0.8168026595798613,0.8149662182245241
receiving_yards,0.515,0.9866295148249389,0.6590632160030212,0.6545730299064216
receptions,0.53,0.9866295148249389,0.679,0.679
receiving_yards,0.495,0.9729896829290098,0.6250239192747497,0.6078629187499053
receptions,0.47,0.9729896829290098,0.733,0.733
receiving_yards,0.435,1.2032328109924217,0.23476239414673117,0.3473213225801246
receptions,0.425,1.2032328109924217,0.207,0.28
receptions,0.425,1.2032328109924217,0.40236319320633956,0.40236319320633956
rushing_yards,0.515,1.2032328109924217,0.3462420901451808,0.44329086318975597
receiving_yards,0.535,1.1353702537365415,0.3359145819898224,0.42408175910294954
receptions,0.595,1.1353702537365415,0.354,0.48
receiving_yards,0.575,1.0968136179209769,0.6494895750772706,0.7062586205017121
receptions,0.46499999999999997,1.0968136179209769,0.323,0.323
receiving_yards,0.42000000000000004,1.2032328109924217,0.15543818328424852,0.21866983550985575
receptions,0.59,1.2032328109924217,0.14,0.25
receiving_yards,0.5349999999999999,1.069582528783894,0.5511462016819692,0.5897624749317629
receptions,0.545,1.069582528783894,0.442,0.554
receiving_yards,0.495,0.9611421270114552,0.39461888657149347,0.37057340509989645
receiving_yards,0.475,0.9969393598716009,0.4947158998807005,0.49284780260609684
receptions,0.515,0.9969393598716009,0.38381827063607804,0.38381827063607804
rushing_yards,0.52,0.9195071765806028,0.8013075842392371,0.7342260045012408
carries,0.47,1.0,0.3852675937194602,0.3852675937194602
receiving_yards,0.55,1.0251132542929482,0.300101201961795,0.3148408829127649
