stat,mkt,p_glm,p_fan
passing_yards,0.48,0.345,0.5095881399164331
passing_yards,0.375,0.19,0.35713726814837315
passing_yards,0.485,0.388,0.4862668342301919
passing_tds,0.43,0.3637499429466856,0.4681468144590178
completions,0.525,0.510469696240595,0.5330378182241906
attempts,0.515,0.5360661659129211,0.5832569451172147
passing_yards,0.44999999999999996,0.477,0.5315662922386645
passing_tds,0.46499999999999997,0.37093377395689514,0.4308440303962102
passing_yards,0.495,0.423,0.4297462388194568
passing_tds,0.525,0.49016995519907963,0.5673481862735463
passing_yards,0.56,0.517,0.4964055958143081
passing_tds,0.51,0.43711141119970276,0.34904123349500954
completions,0.485,0.5727471442628732,0.6347062612126759
attempts,0.525,0.569627693950625,0.6996972104962647
passing_yards,0.46,0.686,0.5488222782658775
passing_tds,0.61,0.6946071262767033,0.6269238996466721
completions,0.51,0.6336004817532571,0.6623558510306666
attempts,0.46499999999999997,0.5620293024475735,0.5128884777940274
passing_yards,0.52,0.612,0.462918670842203
passing_tds,0.33999999999999997,0.36264680274663086,0.3270102689163157
completions,0.475,0.5323910238411325,0.45850397117944036
attempts,0.475,0.583713195235628,0.4434786247821914
rushing_yards,0.425,0.5384817729438793,0.2603039684798867
passing_yards,0.535,0.425,0.5199564413206125
passing_tds,0.54,0.49974639908910107,0.5482597978619563
completions,0.475,0.4321331296873886,0.2823307252103501
attempts,0.45499999999999996,0.4407292709300725,0.38369073001815956
rushing_yards,0.375,0.5006820818092801,0.46109206554106963
passing_yards,0.545,0.58,0.5033702015520667
passing_tds,0.54,0.5017940249870313,0.5417121916191682
completions,0.485,0.5875363470135397,0.6443990489425886
attempts,0.525,0.6267340104340134,0.7973880228955119
rushing_yards,0.515,0.3401598110589039,0.3277354685910206
passing_yards,0.5700000000000001,0.754,0.5022283099051601
passing_tds,0.405,0.44795162360923263,0.2667330537102079
completions,0.47,0.6255373236221946,0.138939636308551
attempts,0.495,0.6644971380278581,0.09418638939376581
rushing_yards,0.45999999999999996,0.6196546816662953,0.33036972300428646
passing_yards,0.55,0.351,0.4810568690300243
passing_tds,0.47,0.36106307220074874,0.3269486551270946
completions,0.475,0.333249655385093,0.2434450598253606
attempts,0.505,0.4001160943849245,0.3406132349788079
rushing_yards,0.515,0.016829276791422307,0.11706207977042192
carries,0.55,0.044785095224016094,0.07320764952379366
passing_yards,0.555,0.592,0.579476276040554
passing_tds,0.33,0.4815345390678297,0.4150270074935917
completions,0.52,0.5773857662525348,0.7130595572510192
attempts,0.52,0.5177970914238127,0.617012669523175
rushing_yards,0.52,0.2819152425703721,0.4607033954253068
passing_yards,0.5549999999999999,0.609,0.4803643424690797
passing_tds,0.62,0.724562154553126,0.7336424588145631
completions,0.485,0.524703777039755,0.5211518569008924
attempts,0.485,0.415615601151736,0.3296271913173749
rushing_yards,0.56,0.6313989019705801,0.4497667798417908
passing_yards,0.54,0.57,0.5516817268384695
passing_tds,0.395,0.42789170461386117,0.47775114963281595
completions,0.505,0.6375144692123159,0.6329287720283265
attempts,0.51,0.6488853482152763,0.7323488665445708
rushing_yards,0.495,0.12540068959459902,0.3317501464300587
passing_yards,0.515,0.353,0.5332763034984455
passing_tds,0.445,0.3235545457367442,0.4838001654438076
completions,0.49,0.37574075469524965,0.44069263087077365
attempts,0.515,0.4819627799587154,0.5803521593417673
rushing_yards,0.545,0.6633879933014403,0.5245456531302605
passing_yards,0.555,0.553,0.5051886690035579
passing_tds,0.6799999999999999,0.6779932007346339,0.629438921987871
completions,0.46499999999999997,0.41128668714086436,0.5298908364715578
attempts,0.47,0.4117919810855392,0.46667113114110603
passing_yards,0.485,0.4,0.5252822443779048
passing_tds,0.445,0.35877700878864643,0.41238914859125403
completions,0.505,0.4387037443772568,0.5806251807859975
attempts,0.5,0.402977942653507,0.6059308811908461
passing_yards,0.45999999999999996,0.482,0.5347387693439131
passing_tds,0.435,0.4681218125957914,0.674112396947669
completions,0.495,0.5050196312436941,0.5544450982639462
attempts,0.485,0.46931164781859946,0.40802093288742297
passing_yards,0.49,0.663,0.48999289642607424
passing_tds,0.52,0.4091329828326644,0.3233710928891501
passing_yards,0.44999999999999996,0.724,0.4750242695882473
passing_tds,0.675,0.7577334386971429,0.7979521000532941
passing_yards,0.5549999999999999,0.33,0.5411649319360734
passing_tds,0.605,0.3937221600267163,0.5462388206440604
completions,0.525,0.45357391371722666,0.5953478236884522
attempts,0.47,0.4673558090766125,0.6832454148316274
passing_yards,0.49,0.646,0.4952807374739558
passing_tds,0.5700000000000001,0.6658587355226276,0.5718671499115092
completions,0.5,0.5547393976330145,0.1701230670435899
attempts,0.45999999999999996,0.5089447257138227,0.039442908899644254
passing_yards,0.42,0.465,0.49081385162299634
passing_tds,0.32,0.4052826895042744,0.48660403939160585
completions,0.505,0.4595960050032712,0.6316230115913155
attempts,0.46499999999999997,0.38958774781754285,0.5203325227533749
passing_yards,0.54,0.042,0.5166058630197571
passing_tds,0.37,0.10840776030447369,0.49427601055674064
completions,0.485,0.01507419851118747,0.6447623381551952
attempts,0.49,0.012542200095995602,0.5683183267644563
passing_yards,0.5800000000000001,0.401,0.5395625397020003
passing_tds,0.62,0.47596483116943694,0.40651409239659564
completions,0.495,0.362535249273874,0.3517874197343895
attempts,0.47,0.3975640651019437,0.37884348784586025
passing_yards,0.45499999999999996,0.197,0.478187154732571
passing_tds,0.4,0.3239688858701844,0.3688930801870928
completions,0.51,0.3247418516385225,0.3236895103588975
attempts,0.515,0.3481280075553755,0.4492318859904027
rushing_yards,0.45999999999999996,0.05818653423522608,0.271611311381582
passing_yards,0.45999999999999996,0.512,0.5377429314447135
passing_tds,0.505,0.4261847953792137,0.37549088636960526
completions,0.51,0.5494255640228823,0.5743368498468088
attempts,0.5,0.5654271976682317,0.7138217013657107
rushing_yards,0.52,0.6590601070967228,0.55763764248744
passing_yards,0.405,0.207,0.4245786615495244
passing_tds,0.33499999999999996,0.25844343858643887,0.40876267466167193
completions,0.46499999999999997,0.2537149455792664,0.27125830235329207
attempts,0.47,0.30151935493374094,0.2967284075362051
rushing_yards,0.46499999999999997,0.4295329752476713,0.42499447539359025
passing_yards,0.46499999999999997,0.425,0.5730781783346836
passing_tds,0.645,0.46798292967689087,0.5398225131126998
passing_yards,0.585,0.522,0.5271327233720362
