player,pos,stat,strike,mkt_p,model_p,model_mean,trailing
Aaron Rodgers,QB,attempts,35.5,0.46499999999999997,0.4117919810855392,34.0571931910667,39.75
Aaron Rodgers,QB,completions,21.5,0.46499999999999997,0.41128668714086436,20.570287867231418,23.25
Aaron Rodgers,QB,passing_tds,0.5,0.675,0.6779932007346339,1.1331826179297115,0.5
Aaron Rodgers,QB,passing_yards,199.5,0.555,0.553,228.292871254567,207.25
Matthew Stafford,QB,passing_tds,1.5,0.64,0.46798292967689087,1.5781529251293167,1.5
Matthew Stafford,QB,passing_yards,249.5,0.46499999999999997,0.425,252.56821822110226,272.75
Kirk Cousins,QB,passing_tds,0.5,0.675,0.7577334386971429,1.4177166660367302,1.75
Kirk Cousins,QB,passing_yards,199.5,0.44999999999999996,0.724,269.5052966786353,165.75
Keenan Allen,WR,receiving_yards,24.5,0.55,0.6380356412524364,46.487046845919906,27.5
Travis Kelce,TE,receiving_yards,39.5,0.5,0.4191072162632663,43.485883703828335,31.25
Geno Smith,QB,attempts,30.5,0.475,0.583713195235628,34.406983317403856,24.0
Geno Smith,QB,completions,20.5,0.475,0.5323910238411325,22.171244578605716,17.0
Geno Smith,QB,passing_tds,1.5,0.33499999999999996,0.36264680274663086,1.2703773650913306,1.0
Geno Smith,QB,passing_yards,199.5,0.495,0.612,242.82840608885604,177.0
Geno Smith,QB,rushing_yards,9.5,0.425,0.5384817729438793,11.261713792182432,3.0
Davante Adams,WR,receiving_yards,44.5,0.495,0.4448078649116276,54.346783311147206,52.75
Mike Evans,WR,receiving_yards,49.5,0.475,0.37945948215031766,56.754994191518826,36.25
Mike Evans,WR,receptions,3.5,0.53,0.532,4.088,4.0
Stefon Diggs,WR,receiving_yards,39.5,0.56,0.4478136312039175,46.9281048160329,37.25
Stefon Diggs,WR,receptions,4.5,0.52,0.395,4.367,4.0
Kalif Raymond,WR,receiving_yards,24.5,0.485,0.7249789437067363,32.355017653802975,50.75
Kalif Raymond,WR,receptions,2.5,0.45999999999999996,0.443,2.998,4.0
Derrick Henry,RB,carries,19.5,0.53,0.6085153143221154,23.736196957172922,24.5
Derrick Henry,RB,rushing_yards,89.5,0.475,0.5573273796242068,117.33416660202002,153.5
Demarcus Robinson,WR,receiving_yards,24.5,0.505,0.6484490293173655,34.75516963036462,46.5
Demarcus Robinson,WR,receptions,1.5,0.56,0.765,2.789,3.0
Carson Wentz,QB,attempts,30.5,0.495,0.6644971380278581,37.42056029939185,30.5
Carson Wentz,QB,completions,19.5,0.47,0.6255373236221946,23.316414485684053,19.5
Carson Wentz,QB,passing_tds,1.5,0.405,0.44795162360923263,1.51731077846511,1.25
Carson Wentz,QB,passing_yards,199.5,0.5900000000000001,0.754,282.3647869976462,206.5
Carson Wentz,QB,rushing_yards,9.5,0.475,0.6196546816662953,12.812684462781581,10.0
Dak Prescott,QB,attempts,34.5,0.475,0.3975640651019437,32.65674806739081,28.0
Dak Prescott,QB,completions,22.5,0.495,0.362535249273874,20.496454245866463,17.25
Dak Prescott,QB,passing_tds,1.5,0.625,0.47596483116943694,1.6027744549745617,1.5
Dak Prescott,QB,passing_yards,249.5,0.575,0.401,246.10854108334294,199.0
Hunter Henry,TE,receiving_yards,39.5,0.49,0.11604099765914389,26.45697150306914,18.5
Hunter Henry,TE,receptions,3.5,0.46499999999999997,0.145,2.271,2.25
Jared Goff,QB,attempts,36.5,0.475,0.444645283602822,36.107648114676635,41.0
Jared Goff,QB,completions,23.5,0.515,0.45794203110602005,23.580482817567052,26.25
Jared Goff,QB,passing_tds,1.5,0.545,0.442082671633533,1.4997253507760762,1.75
Jared Goff,QB,passing_yards,249.5,0.545,0.384,241.4798418630712,274.5
Jacoby Brissett,QB,attempts,35.5,0.46499999999999997,0.38958774781754285,33.357919788548394,34.0
Jacoby Brissett,QB,completions,21.5,0.51,0.4595960050032712,21.595376870725115,21.5
Jacoby Brissett,QB,passing_tds,1.5,0.325,0.4052826895042744,1.3916544666656643,1.5
Jacoby Brissett,QB,passing_yards,224.5,0.435,0.465,235.27361403262273,233.75
Christian McCaffrey,RB,carries,14.5,0.505,0.23653813489008274,11.211141047761467,11.0
Christian McCaffrey,RB,receiving_yards,39.5,0.505,0.42357014358369993,39.90273956629085,39.75
Christian McCaffrey,RB,receptions,4.5,0.52,0.5058030434740933,5.061429985605942,5.5
George Kittle,TE,receiving_yards,39.5,0.52,0.4217908426868243,39.96078640960582,40.5
Aaron Jones,RB,carries,13.5,0.5700000000000001,0.39453638743986524,12.652687469462592,15.75
Aaron Jones,RB,receiving_yards,14.5,0.49,0.3872848067005126,13.816006846434519,12.25
Aaron Jones,RB,receptions,2.5,0.51,0.27180955089279407,1.80907235185934,2.0
Aaron Jones,RB,rushing_yards,59.5,0.505,0.3353798604589764,49.425224394247934,53.0
Deshaun Watson,QB,attempts,29.5,0.47,0.5620293024475735,32.57151901597459,22.5
Deshaun Watson,QB,completions,17.5,0.525,0.6336004817532571,21.10406130912137,15.5
Deshaun Watson,QB,passing_tds,0.5,0.61,0.6946071262767033,1.1861562207092216,0.5
Deshaun Watson,QB,passing_yards,174.5,0.46,0.686,232.01780118170922,156.5
Mack Hollins,WR,receiving_yards,39.5,0.395,0.47110179712619493,51.30265975141131,62.25
Mack Hollins,WR,receptions,3.5,0.41000000000000003,0.416,3.887,4.25
Jonnu Smith,TE,receiving_yards,14.5,0.395,0.6518163614434703,24.272802295192015,17.25
Jonnu Smith,TE,receptions,1.5,0.45499999999999996,0.477,1.985,2.5
Patrick Mahomes,QB,passing_tds,1.5,0.51,0.4261847953792137,1.4525941986027238,1.5
Patrick Mahomes,QB,passing_yards,224.5,0.46499999999999997,0.512,245.26891988674555,198.5
Patrick Mahomes,QB,rushing_yards,14.5,0.525,0.6590601070967228,20.92000450330233,31.75
Evan Engram,TE,receiving_yards,24.5,0.485,0.590691252527185,33.90142045809797,28.5
Evan Engram,TE,receptions,2.5,0.58,0.388,2.517,2.5
Alvin Kamara,RB,rushing_yards,14.5,0.54,0.8976802829697339,33.817193281315156,32.25
Chris Godwin Jr.,WR,receiving_yards,39.5,0.5549999999999999,0.3680935359969262,35.430529424441076,46.5
Chris Godwin Jr.,WR,receptions,3.5,0.56,0.398,3.5320000000000005,4.25
Courtland Sutton,WR,receiving_yards,39.5,0.485,0.3645355569309221,39.85758784523792,21.5
Courtland Sutton,WR,receptions,3.5,0.475,0.336,3.1139999999999994,2.5
Dallas Goedert,TE,receiving_yards,39.5,0.46499999999999997,0.45675000871065397,43.73779392417808,37.5
Dallas Goedert,TE,receptions,3.5,0.525,0.409,3.729,3.5
Dalton Schultz,TE,receiving_yards,39.5,0.535,0.23914905925213148,32.20704006519723,41.75
Dalton Schultz,TE,receptions,4.5,0.55,0.087,2.663,3.25
Lamar Jackson,QB,attempts,27.5,0.505,0.4001160943849245,26.060553900055556,16.25
Lamar Jackson,QB,carries,7.5,0.555,0.044785095224016094,3.4072564955516333,3.75
Lamar Jackson,QB,completions,18.5,0.475,0.333249655385093,16.32647843058519,10.75
Lamar Jackson,QB,passing_tds,1.5,0.45999999999999996,0.36106307220074874,1.2659386000889035,1.5
Lamar Jackson,QB,passing_yards,199.5,0.5349999999999999,0.351,185.86978939896719,203.25
Lamar Jackson,QB,rushing_yards,39.5,0.515,0.016829276791422307,15.456102836559555,20.5
DJ Moore,WR,receiving_yards,59.5,0.545,0.24868577263293057,44.42715217148695,56.75
DJ Moore,WR,receptions,4.5,0.515,0.216,3.504,4.25
Mike Gesicki,TE,receiving_yards,24.5,0.505,0.5839472674916917,33.753263718346695,43.25
Mike Gesicki,TE,receptions,2.5,0.47,0.39,2.6030000000000006,3.0
Saquon Barkley,RB,receiving_yards,14.5,0.355,0.4602746445803546,15.541657101513358,5.5
Saquon Barkley,RB,receptions,1.5,0.605,0.6038203667934425,2.036638795834205,1.0
Saquon Barkley,RB,rushing_yards,79.5,0.49,0.4179062202281243,89.2111407182382,97.25
Baker Mayfield,QB,attempts,27.5,0.52,0.569627693950625,30.578784743584126,30.0
Baker Mayfield,QB,completions,18.5,0.485,0.5727471442628732,20.862207076206456,22.5
Baker Mayfield,QB,passing_tds,1.5,0.51,0.43711141119970276,1.4849100007832314,1.0
