alpha,c,k,clamp,nmae,tf_bias,tf_early,slope_err,obj
0.0,1,1.0,None-None,0.9621225875967532,0.13480404769641216,0.16630296155608268,0.20230363282672403,1.0789750802988975
0.0,2,1.0,None-None,0.9571723374829673,0.13528229810144932,0.17871545853130605,0.18257029680353376,1.0803506412739827
0.0,4,2.0,None-None,0.9602577409688379,0.13430575295156705,0.17404327975536982,0.1973620174033724,1.0808558190844146
0.0,8,4.0,None-None,0.9634057654071139,0.13755340847474284,0.1714131789845097,0.2306456788572337,1.0835007070180542
0.0,8,2.0,None-None,0.954609041327733,0.13478827449561523,0.19679321892923768,0.17183827283005285,1.0867027194162557
0.0,2,2.0,None-None,0.967128354240159,0.1384541709920945,0.17128547964366428,0.24370866086126355,1.0873846368100148
0.0,4,1.0,None-None,0.9530537468601374,0.13761516887455902,0.20137098900137368,0.17188193757708367,1.088143033579464
0.25,1,1.0,None-None,0.9643055847823085,0.1238007313394732,0.20407923449086482,0.17034421310378783,1.0972953848626092
0.0,8,1.0,None-None,0.9500733134086322,0.141934080534966,0.2253195875903897,0.18543618022814812,1.0982166273375686
0.25,4,2.0,None-None,0.9630136514044508,0.12053855564692341,0.21084458748958948,0.16465104758311347,1.0985705840609765
0.25,8,4.0,None-None,0.9666231198946686,0.11384868462996933,0.2083466299412076,0.16739632324296172,1.099258606022765
0.25,2,2.0,None-None,0.9698438469636792,0.11482742625062917,0.2020469735501741,0.17560089916518298,1.0995741903014236
0.25,2,1.0,None-None,0.9593668125224855,0.12807442486052664,0.21651182351918574,0.16413668319921465,1.0996413304972101
0.0,1,1.0,0.25-2.5,0.9663946419669657,0.10167125877543097,0.2185503353331268,0.186289777696995,1.1010876243273868
0.0,4,4.0,None-None,0.9728763521874014,0.16034555204820206,0.17812756305520494,0.3271185975337329,1.1020265217270544
0.0,4,2.0,0.25-2.5,0.9647426389684189,0.1021189449736748,0.22651708798172382,0.18621223739908005,1.1035309192026994
0.25,8,2.0,None-None,0.9569570600659355,0.1280280531240186,0.22930206397863256,0.1646401713602693,1.1036151053362564
0.0,2,1.0,0.25-2.5,0.9623406600712165,0.10441116974934976,0.23037299043112994,0.18252875481897848,1.103629947724119
0.0,1,2.0,None-None,0.9739334858047403,0.1491278267893288,0.18655664956476523,0.2831102615397667,1.104493767284455
0.25,4,1.0,None-None,0.9549463740480086,0.1339768125839778,0.23251220679114104,0.17303548150271245,1.1046966805895735
0.25,4,4.0,None-None,0.9759851317833665,0.11175392186399047,0.20282022683807527,0.2056837921198575,1.105333725668402
0.0,8,4.0,0.25-2.5,0.9671856923858051,0.10416554143115721,0.224464999841455,0.19595820498198613,1.105459577664322
0.0,2,2.0,0.25-2.5,0.9703057849103142,0.10333031611378711,0.2248981513553009,0.19820606380989603,1.1085874396164115
