stat,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
receiving_tds,4106.0,3271.0,835.0,0.0,4106.0,2138.636363636363,0.5208563964043749,0.7966390647832441
rushing_tds,2014.0,1547.0,467.0,0.0,2014.0,939.3636363636363,0.4664168998826397,0.7681231380337636
interceptions,1030.0,676.0,354.0,0.0,1030.0,260.54545454545456,0.2529567519858782,0.6563106796116505
passing_tds,1203.0,746.0,457.0,0.0,1203.0,221.1818181818182,0.1838585354794831,0.6201163757273483
receiving_yards,7765.0,4182.0,3583.0,0.0,7765.0,218.8181818181818,0.02818006204999122,0.5385705086928525
completions,958.0,572.0,386.0,0.0,958.0,134.0,0.13987473903966596,0.5970772442588727
passing_yards,966.0,570.0,396.0,0.0,966.0,122.18181818181819,0.1264822134387352,0.5900621118012422
receptions,8078.0,4264.0,3814.0,0.0,8078.0,62.36363636363639,0.007720182763510323,0.5278534290666006
rushing_yards,4707.0,2052.0,2655.0,0.0,4707.0,-789.5454545454545,-0.16773857118025376,0.4359464627151052
carries,5533.0,2293.0,3240.0,0.0,5533.0,-1155.4545454545455,-0.20882966662832922,0.41442255557563706
