stat,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
receiving_tds,2081.0,1650.0,431.0,0.0,2081.0,1069.0,0.513695338779433,0.7928880345987506
rushing_tds,1026.0,789.0,237.0,0.0,1026.0,480.27272727272725,0.46810207336523124,0.7690058479532164
receptions,4270.0,2367.0,1903.0,0.0,4270.0,248.81818181818184,0.05827123695976155,0.5543325526932085
receiving_yards,4111.0,2272.0,1839.0,0.0,4111.0,226.45454545454547,0.05508502686804803,0.5526635855023109
interceptions,401.0,280.0,121.0,0.0,401.0,133.54545454545453,0.33303105871684424,0.6982543640897756
passing_tds,587.0,366.0,221.0,0.0,587.0,111.72727272727272,0.19033606938206596,0.6235093696763203
completions,532.0,307.0,225.0,0.0,532.0,54.09090909090909,0.10167464114832536,0.5770676691729323
passing_yards,553.0,312.0,241.0,0.0,553.0,42.636363636363626,0.0771001150747986,0.5641952983725136
rushing_yards,2448.0,1078.0,1370.0,0.0,2448.0,-389.99999999999994,-0.15931372549019607,0.440359477124183
carries,2792.0,1179.0,1613.0,0.0,2792.0,-541.1818181818181,-0.19383302943474862,0.42227793696275073
