season,week,legs,parlay_label,joint_prob,decimal_odds,expected_value_units,same_game_penalty_applied,mean_edge,result,stake_units,profit_units,books
2024,17,2,00-0026300 passing_yards over | 00-0036928 passing_yards over,0.9999998881784691,3.6446280991735542,2.6446276916256606,1.0,0.4761904202797106,loss,1.0,-1.0,synthetic
2024,17,2,00-0026300 passing_yards over | 00-0033869 passing_yards over,0.9999997630721164,3.6446280991735542,2.644627235659532,1.0,0.4761903577265341,win,1.0,2.6446280991735542,synthetic
2024,17,2,00-0036928 passing_yards over | 00-0033869 passing_yards over,0.9999996551793907,3.6446280991735542,2.6446268424306725,1.0,0.47619030378015864,loss,1.0,-1.0,synthetic
2024,18,2,00-0034401 passing_yards over | 00-0038582 passing_yards over,0.999998775219382,3.6446280991735542,2.6446236353036987,1.0,0.47618986380013195,loss,1.0,-1.0,synthetic
2024,18,2,00-0038582 passing_yards over | 00-0034401 completions over,0.9999960633704127,3.6446280991735542,2.6446137516227446,1.0,0.4761885078740686,loss,1.0,-1.0,synthetic
2024,17,2,00-0026300 passing_yards over | 00-0036928 completions over,0.9999948249378715,3.6446280991735542,2.6446092379967054,1.0,0.4761878886594068,loss,1.0,-1.0,synthetic
2024,17,2,00-0033869 passing_yards over | 00-0036928 completions over,0.9999945919399729,3.6446280991735542,2.6446083888060175,1.0,0.47618777215985486,loss,1.0,-1.0,synthetic
2024,17,2,00-0036928 passing_yards over | 00-0026300 completions over,0.9999938141980853,3.6446280991735542,2.64460555422608,1.0,0.4761873832891851,loss,1.0,-1.0,synthetic
2024,17,2,00-0033869 passing_yards over | 00-0026300 completions over,0.9999936890924925,3.6446280991735542,2.644605098262721,1.0,0.4761873207360086,win,1.0,2.6446280991735542,synthetic
2024,18,2,00-0034401 passing_yards over | 00-0038582 completions over,0.999991812170296,3.6446280991735542,2.644598257579344,1.0,0.47618638227537846,loss,1.0,-1.0,synthetic
2024,18,2,00-0034401 completions over | 00-0038582 completions over,0.9999891003402095,3.6446280991735542,2.6445883739672107,1.0,0.4761850263493151,loss,1.0,-1.0,synthetic
2024,7,2,00-0031503 completions over | 00-0038998 completions over,0.9999890439750266,3.6446280991735542,2.644588168537081,1.0,0.4761849981630906,win,1.0,2.6446280991735542,synthetic
2024,17,2,00-0026300 passing_yards over | 00-0033869 completions over,0.999989002414336,3.6446280991735542,2.6445880170638203,1.0,0.4761849773976333,win,1.0,2.6446280991735542,synthetic
2024,17,2,00-0036928 passing_yards over | 00-0033869 completions over,0.9999888945227713,3.6446280991735542,2.6445876238391914,1.0,0.47618492345125785,loss,1.0,-1.0,synthetic
2024,17,2,00-0036928 completions over | 00-0026300 completions over,0.9999887509882417,3.6446280991735542,2.644587100709212,1.0,0.4761848516688813,loss,1.0,-1.0,synthetic
2024,7,2,00-0038998 completions over | 00-0031503 passing_yards over,0.9999871681391852,3.6446280991735542,2.6445813318130638,1.0,0.476184060239601,win,1.0,2.6446280991735542,synthetic
2024,18,2,00-0038582 passing_yards over | 00-0033869 completions over,0.9999848816471765,3.6446280991735542,2.6445729984000406,1.0,0.4761829170059409,loss,1.0,-1.0,synthetic
2024,17,2,00-0036928 completions over | 00-0033869 completions over,0.9999838313378372,3.6446280991735542,2.6445691704131096,1.0,0.47618239183095407,loss,1.0,-1.0,synthetic
2024,17,2,00-0026300 completions over | 00-0033869 completions over,0.9999829285000721,3.6446280991735542,2.644565879905222,1.0,0.4761819404071078,win,1.0,2.6446280991735542,synthetic
2024,7,2,00-0031503 completions over | 00-0038998 passing_yards over,0.9999786051033376,3.6446280991735542,2.6445501227319994,1.0,0.47617977870105177,win,1.0,2.6446280991735542,synthetic
