player_id,season,week,stat,line,actual_value,book,selected_side,selected_odds,selected_book_implied_prob,selected_market_no_vig_prob,selected_fair_american,selected_raw_prob,selected_prob,selected_edge,selected_ev,model_p_over_calibrated,model_p_under_calibrated,market_p_over_no_vig,market_p_under_no_vig,ev_over,ev_under,recommendation,confidence,top_drivers,result,stake_units,profit_units,game_id,recent_team,opponent_team
00-0036223,2025,1,carries,29.5,18.0,synthetic,under,-110,0.5238095238095238,0.5,-99999900.0,0.9999999990470053,0.9999999990470053,0.4999999990470053,0.9090909072715556,9.529947379999526e-10,0.9999999990470053,0.5,0.5,-0.9999999981806464,0.9090909072715556,under,high,[],win,1.0,0.9090909090909091,2025_01_IND_MIA,IND,MIA
00-0032764,2025,1,carries,22.5,18.0,synthetic,under,-110,0.5238095238095238,0.5,-15214942.0,0.9999934275566784,0.9999934275566784,0.4999934275566784,0.9090783616991133,6.572443321539314e-06,0.9999934275566784,0.5,0.5,-0.9999874526082043,0.9090783616991133,under,high,[],win,1.0,0.9090909090909091,2025_01_BAL_BUF,BAL,BUF
00-0034844,2025,1,carries,22.5,18.0,synthetic,under,-110,0.5238095238095238,0.5,-15214942.0,0.9999934275566784,0.9999934275566784,0.4999934275566784,0.9090783616991133,6.572443321539314e-06,0.9999934275566784,0.5,0.5,-0.9999874526082043,0.9090783616991133,under,high,[],win,1.0,0.9090909090909091,2025_01_PHI_DAL,PHI,DAL
00-0038542,2025,1,carries,22.5,12.0,synthetic,under,-110,0.5238095238095238,0.5,-15214942.0,0.9999934275566784,0.9999934275566784,0.4999934275566784,0.9090783616991133,6.572443321539314e-06,0.9999934275566784,0.5,0.5,-0.9999874526082043,0.9090783616991133,under,high,[],win,1.0,0.9090909090909091,2025_01_ATL_TB,ATL,TB
00-0036139,2025,1,carries,20.5,3.0,synthetic,under,-110,0.5238095238095238,0.5,-1721536.0,0.9999419157168781,0.9999419157168781,0.49994191571687807,0.90898002091404,5.8084283121968634e-05,0.9999419157168781,0.5,0.5,-0.9998891118231308,0.90898002091404,under,high,[],win,1.0,0.9090909090909091,2025_01_CAR_JAX,CAR,JAX
00-0038597,2025,1,carries,19.5,21.0,synthetic,under,-110,0.5238095238095238,0.5,-618117.0,0.9998382444968765,0.9998382444968765,0.4998382444968765,0.9087821031304006,0.0001617555031234191,0.9998382444968765,0.5,0.5,-0.9996911940394916,0.9087821031304006,under,high,[],loss,1.0,-1.0,2025_01_CIN_CLE,CIN,CLE
00-0039139,2025,1,carries,19.5,9.0,synthetic,under,-110,0.5238095238095238,0.5,-618117.0,0.9998382444968765,0.9998382444968765,0.4998382444968765,0.9087821031304006,0.0001617555031234191,0.9998382444968765,0.5,0.5,-0.9996911940394916,0.9087821031304006,under,high,[],win,1.0,0.9090909090909091,2025_01_DET_GB,DET,GB
00-0036555,2025,1,carries,18.5,16.0,synthetic,under,-110,0.5238095238095238,0.5,-232337.0,0.9995697764984148,0.9995697764984148,0.49956977649841483,0.9082695733151556,0.0004302235015851423,0.9995697764984148,0.5,0.5,-0.9991786642242465,0.9082695733151556,under,high,[],win,1.0,0.9090909090909091,2025_01_CAR_JAX,CAR,JAX
00-0039361,2025,1,carries,18.5,14.0,synthetic,under,-110,0.5238095238095238,0.5,-232337.0,0.9995697764984148,0.9995697764984148,0.49956977649841483,0.9082695733151556,0.0004302235015851423,0.9995697764984148,0.5,0.5,-0.9991786642242465,0.9082695733151556,under,high,[],win,1.0,0.9090909090909091,2025_01_TB_ATL,TB,ATL
00-0026158,2025,1,carries,0.5,2.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],win,1.0,0.9090909090909091,2025_01_CLE_CIN,CLE,CIN
00-0029892,2025,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],loss,1.0,-1.0,2025_01_SF_SEA,SF,SEA
00-0031236,2025,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],loss,1.0,-1.0,2025_01_NO_ARI,NO,ARI
00-0031588,2025,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],loss,1.0,-1.0,2025_01_NE_LV,NE,LV
00-0032385,2025,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],loss,1.0,-1.0,2025_01_TB_ATL,TB,ATL
00-0033526,2025,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],loss,1.0,-1.0,2025_01_CIN_CLE,CIN,CLE
00-0033589,2025,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],loss,1.0,-1.0,2025_01_CAR_JAX,CAR,JAX
00-0034407,2025,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,0.5,-225912.0,0.9995575448794013,0.9995575448794013,0.4995575448794013,0.9082462220424934,0.9995575448794013,0.00044245512059870595,0.5,0.5,0.9082462220424934,-0.9991553129515843,over,high,[],loss,1.0,-1.0,2025_01_ATL_TB,ATL,TB
