player_id,season,week,stat,line,book,over_odds,under_odds,recent_team,opponent_team,game_id
00-0019596,2019,1,carries,1.5,synthetic,-110,-110,NE,PIT,2019_01_NE_PIT
00-0019596,2019,1,completions,27.5,synthetic,-110,-110,NE,PIT,2019_01_NE_PIT
00-0019596,2019,1,interceptions,0.5,synthetic,-110,-110,NE,PIT,2019_01_NE_PIT
00-0019596,2019,1,passing_tds,1.5,synthetic,-110,-110,NE,PIT,2019_01_NE_PIT
00-0019596,2019,1,passing_yards,300.5,synthetic,-110,-110,NE,PIT,2019_01_NE_PIT
00-0020531,2019,1,carries,2.5,synthetic,-110,-110,NO,HOU,2019_01_NO_HOU
00-0020531,2019,1,completions,26.5,synthetic,-110,-110,NO,HOU,2019_01_NO_HOU
00-0020531,2019,1,interceptions,0.5,synthetic,-110,-110,NO,HOU,2019_01_NO_HOU
00-0020531,2019,1,passing_tds,1.5,synthetic,-110,-110,NO,HOU,2019_01_NO_HOU
00-0020531,2019,1,passing_yards,269.5,synthetic,-110,-110,NO,HOU,2019_01_NO_HOU
00-0022803,2019,1,carries,0.5,synthetic,-110,-110,NYG,DAL,2019_01_NYG_DAL
00-0022803,2019,1,completions,21.5,synthetic,-110,-110,NYG,DAL,2019_01_NYG_DAL
00-0022803,2019,1,interceptions,0.5,synthetic,-110,-110,NYG,DAL,2019_01_NYG_DAL
00-0022803,2019,1,passing_tds,1.5,synthetic,-110,-110,NYG,DAL,2019_01_NYG_DAL
00-0022803,2019,1,passing_yards,259.5,synthetic,-110,-110,NYG,DAL,2019_01_NYG_DAL
00-0022803,2019,1,rushing_tds,0.5,synthetic,-110,-110,NYG,DAL,2019_01_NYG_DAL
00-0022803,2019,1,rushing_yards,0.5,synthetic,-110,-110,NYG,DAL,2019_01_NYG_DAL
00-0022921,2019,1,receiving_tds,0.5,synthetic,-110,-110,ARI,DET,2019_01_ARI_DET
00-0022921,2019,1,receiving_yards,56.5,synthetic,-110,-110,ARI,DET,2019_01_ARI_DET
00-0022921,2019,1,receptions,5.5,synthetic,-110,-110,ARI,DET,2019_01_ARI_DET
00-0022924,2019,1,carries,1.5,synthetic,-110,-110,PIT,NE,2019_01_PIT_NE
00-0022924,2019,1,completions,27.5,synthetic,-110,-110,PIT,NE,2019_01_PIT_NE
00-0022924,2019,1,interceptions,0.5,synthetic,-110,-110,PIT,NE,2019_01_PIT_NE
00-0022924,2019,1,passing_tds,2.5,synthetic,-110,-110,PIT,NE,2019_01_PIT_NE
00-0022924,2019,1,passing_yards,296.5,synthetic,-110,-110,PIT,NE,2019_01_PIT_NE
00-0022924,2019,1,rushing_yards,1.5,synthetic,-110,-110,PIT,NE,2019_01_PIT_NE
00-0022942,2019,1,carries,1.5,synthetic,-110,-110,LAC,IND,2019_01_LAC_IND
00-0022942,2019,1,completions,21.5,synthetic,-110,-110,LAC,IND,2019_01_LAC_IND
00-0022942,2019,1,interceptions,1.5,synthetic,-110,-110,LAC,IND,2019_01_LAC_IND
00-0022942,2019,1,passing_tds,1.5,synthetic,-110,-110,LAC,IND,2019_01_LAC_IND
00-0022942,2019,1,passing_yards,212.5,synthetic,-110,-110,LAC,IND,2019_01_LAC_IND
00-0022942,2019,1,rushing_yards,4.5,synthetic,-110,-110,LAC,IND,2019_01_LAC_IND
00-0023459,2019,1,carries,2.5,synthetic,-110,-110,GB,CHI,2019_01_GB_CHI
00-0023459,2019,1,completions,21.5,synthetic,-110,-110,GB,CHI,2019_01_GB_CHI
00-0023459,2019,1,interceptions,0.5,synthetic,-110,-110,GB,CHI,2019_01_GB_CHI
00-0023459,2019,1,passing_tds,1.5,synthetic,-110,-110,GB,CHI,2019_01_GB_CHI
00-0023459,2019,1,passing_yards,234.5,synthetic,-110,-110,GB,CHI,2019_01_GB_CHI
00-0023459,2019,1,rushing_tds,0.5,synthetic,-110,-110,GB,CHI,2019_01_GB_CHI
00-0023459,2019,1,rushing_yards,25.5,synthetic,-110,-110,GB,CHI,2019_01_GB_CHI
00-0023500,2019,1,carries,9.5,synthetic,-110,-110,BUF,NYJ,2019_01_BUF_NYJ
00-0023500,2019,1,receiving_yards,11.5,synthetic,-110,-110,BUF,NYJ,2019_01_BUF_NYJ
00-0023500,2019,1,receptions,0.5,synthetic,-110,-110,BUF,NYJ,2019_01_BUF_NYJ
00-0023500,2019,1,rushing_yards,48.5,synthetic,-110,-110,BUF,NYJ,2019_01_BUF_NYJ
